weight_quant_bits,activation_quant_bits,prune_ratio,group_size,quantized_acc,acc_drop,compression_ratio,weight_cr,activation_traffic_cr,activation_peak_cr,model_size_mb,avg_bits_per_weight,achieved_sparsity,metadata_fraction,runtime_s
4,6,0.3,0,92.78,2.84,10.6646,10.9503,5.3333,5.3333,0.80005,2.9223,0.2894,0.0636,3.6
4,6,0.3,64,92.9,2.72,9.395,9.5979,5.3333,5.3333,0.90817,3.3341,0.2894,0.0837,3.7
4,6,0.5,0,88.4,7.22,12.4757,12.9034,5.3333,5.3333,0.68391,2.48,0.4823,0.075,3.4
4,6,0.5,64,88.93,6.69,11.2511,11.5797,5.3333,5.3333,0.75835,2.7635,0.4823,0.1008,3.4
4,8,0.0,0,93.37,2.25,10.2798,10.5389,4.0,4.0,0.83001,3.0364,0.0,0.0611,3.6
4,8,0.0,64,93.65,1.97,8.8999,9.0742,4.0,4.0,0.95869,3.5265,0.0,0.0792,3.7
4,8,0.3,0,93.07,2.55,10.6646,10.9503,4.0,4.0,0.80005,2.9223,0.2894,0.0636,3.5
4,8,0.3,64,93.5,2.12,9.395,9.5979,4.0,4.0,0.90817,3.3341,0.2894,0.0837,3.6
4,8,0.5,0,89.24,6.38,12.4757,12.9034,4.0,4.0,0.68391,2.48,0.4823,0.075,3.4
4,8,0.5,64,89.85,5.77,11.2511,11.5797,4.0,4.0,0.75835,2.7635,0.4823,0.1008,3.4
5,4,0.0,0,73.72,21.9,7.6807,7.7933,8.0,8.0,1.11087,4.1061,0.0,0.0467,3.7
5,4,0.0,64,73.83,21.79,6.8758,6.9545,8.0,8.0,1.24091,4.6013,0.0,0.0621,3.8
5,4,0.3,0,72.86,22.76,8.3584,8.5037,8.0,8.0,1.02081,3.7631,0.2894,0.0509,3.6
5,4,0.3,64,72.63,22.99,7.6241,7.7342,8.0,8.0,1.11911,4.1375,0.2894,0.0689,3.7
5,4,0.5,0,62.23,33.39,10.2056,10.4597,8.0,8.0,0.83604,3.0594,0.4823,0.0626,3.5
5,4,0.5,64,61.9,33.72,9.4392,9.6447,8.0,8.0,0.90392,3.3179,0.4823,0.0858,3.5
5,6,0.0,0,94.86,0.76,7.6807,7.7933,5.3333,5.3333,1.11087,4.1061,0.0,0.0467,3.7
5,6,0.0,64,94.89,0.73,6.8758,6.9545,5.3333,5.3333,1.24091,4.6013,0.0,0.0621,3.8
5,6,0.3,0,94.74,0.88,8.3584,8.5037,5.3333,5.3333,1.02081,3.7631,0.2894,0.0509,3.7
5,6,0.3,64,94.89,0.73,7.6241,7.7342,5.3333,5.3333,1.11911,4.1375,0.2894,0.0689,3.7
5,6,0.5,0,91.61,4.01,10.2056,10.4597,5.3333,5.3333,0.83604,3.0594,0.4823,0.0626,3.6
5,6,0.5,64,91.66,3.96,9.4392,9.6447,5.3333,5.3333,0.90392,3.3179,0.4823,0.0858,3.5
5,8,0.0,0,95.19,0.43,7.6807,7.7933,4.0,4.0,1.11087,4.1061,0.0,0.0467,3.7
5,8,0.0,64,95.29,0.33,6.8758,6.9545,4.0,4.0,1.24091,4.6013,0.0,0.0621,3.8
5,8,0.3,0,95.32,0.3,8.3584,8.5037,4.0,4.0,1.02081,3.7631,0.2894,0.0509,3.7
5,8,0.3,64,95.19,0.43,7.6241,7.7342,4.0,4.0,1.11911,4.1375,0.2894,0.0689,3.7
5,8,0.5,0,92.23,3.39,10.2056,10.4597,4.0,4.0,0.83604,3.0594,0.4823,0.0626,3.5
5,8,0.5,64,92.58,3.04,9.4392,9.6447,4.0,4.0,0.90392,3.3179,0.4823,0.0858,3.5
6,4,0.0,0,71.76,23.86,6.1646,6.2177,8.0,8.0,1.38407,5.1466,0.0,0.0389,3.9
6,4,0.0,64,72.4,23.22,5.6392,5.676,8.0,8.0,1.51303,5.6377,0.0,0.0523,3.9
6,4,0.3,0,71.66,23.96,7.0079,7.0918,8.0,8.0,1.21752,4.5122,0.2894,0.0443,3.7
6,4,0.3,64,72.24,23.38,6.5058,6.5707,8.0,8.0,1.31148,4.8701,0.2894,0.0603,3.8
6,4,0.5,0,60.72,34.9,8.7367,8.902,8.0,8.0,0.9766,3.5947,0.4823,0.0556,3.6
6,4,0.5,64,60.98,34.64,8.1822,8.3187,8.0,8.0,1.04279,3.8468,0.4823,0.0763,3.6
6,6,0.0,0,95.0,0.62,6.1646,6.2177,5.3333,5.3333,1.38407,5.1466,0.0,0.0389,3.9
6,6,0.0,64,95.25,0.37,5.6392,5.676,5.3333,5.3333,1.51303,5.6377,0.0,0.0523,3.9
6,6,0.3,0,94.99,0.63,7.0079,7.0918,5.3333,5.3333,1.21752,4.5122,0.2894,0.0443,3.8
6,6,0.3,64,95.11,0.51,6.5058,6.5707,5.3333,5.3333,1.31148,4.8701,0.2894,0.0603,3.8
6,6,0.5,0,91.96,3.66,8.7367,8.902,5.3333,5.3333,0.9766,3.5947,0.4823,0.0556,3.6
6,6,0.5,64,92.02,3.6,8.1822,8.3187,5.3333,5.3333,1.04279,3.8468,0.4823,0.0763,3.7
6,8,0.0,0,95.53,0.09,6.1646,6.2177,4.0,4.0,1.38407,5.1466,0.0,0.0389,3.9
6,8,0.0,64,95.51,0.11,5.6392,5.676,4.0,4.0,1.51303,5.6377,0.0,0.0523,4.0
6,8,0.3,0,95.41,0.21,7.0079,7.0918,4.0,4.0,1.21752,4.5122,0.2894,0.0443,3.8
6,8,0.3,64,95.46,0.16,6.5058,6.5707,4.0,4.0,1.31148,4.8701,0.2894,0.0603,3.8
6,8,0.5,0,92.77,2.85,8.7367,8.902,4.0,4.0,0.9766,3.5947,0.4823,0.0556,3.6
6,8,0.5,64,92.7,2.92,8.1822,8.3187,4.0,4.0,1.04279,3.8468,0.4823,0.0763,3.7
8,4,0.0,0,73.13,22.49,4.4322,4.4401,8.0,8.0,1.92506,7.207,0.0,0.0317,4.2
8,4,0.0,64,72.8,22.82,4.1637,4.1668,8.0,8.0,2.0492,7.6798,0.0,0.0419,4.2
8,4,0.3,0,73.21,22.41,5.3232,5.3514,8.0,8.0,1.60284,5.9798,0.2894,0.0385,4.0
8,4,0.3,64,72.69,22.93,5.0389,5.0599,8.0,8.0,1.69327,6.3242,0.2894,0.0511,3.9
8,4,0.5,0,62.04,33.58,6.7708,6.8454,8.0,8.0,1.26016,4.6747,0.4823,0.0506,3.7
